Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,PlantType
90,42,43,6.502985292,82.00274423,20.87974371,rice
85,58,41,7.038096361,80.31964408,21.77046169,rice
60,55,44,7.840207144,82.3207629,23.00445915,rice
74,35,40,6.980400905,80.15836264,26.49109635,rice
78,42,42,7.628472891,81.60487287,20.13017482,rice
69,37,42,7.073453503,83.37011772,23.05804872,rice
69,55,38,5.70080568,82.63941394,22.70883798,rice
94,53,40,5.718627178,82.89408619,20.27774362,rice
89,54,38,6.685346424,83.5352163,24.51588066,rice
68,58,38,6.336253525,83.03322691,23.22397386,rice
91,53,40,5.386167788,81.41753846,26.52723513,rice
90,46,42,7.50283396,81.45061596,23.97898217,rice
78,58,44,5.108681786,80.88684822,26.80079604,rice
93,56,36,6.98435366,82.05687182,24.01497622,rice
94,50,37,6.94801983,80.66385045,25.66585205,rice
60,48,39,7.042299069,80.30025587,24.28209415,rice
85,38,41,6.249050656,82.7883708,21.58711777,rice
91,35,39,6.970859754,80.41817957,23.79391957,rice
77,38,36,5.953933276,80.1923008,21.8652524,rice
88,35,40,5.85393208,83.58760316,23.57943626,rice
89,45,36,6.442475375,80.47476396,21.32504158,rice
76,40,43,5.070175667,83.11713476,25.15745531,rice
67,59,41,6.012632591,80.97384195,21.94766735,rice
83,41,43,6.254028451,82.67839517,21.0525355,rice
98,47,37,7.375482851,81.33265073,23.48381344,rice
66,53,41,7.778915154,80.52389148,25.0756354,rice
97,59,43,6.286500176,84.04403589,26.35927159,rice
97,50,41,7.070959995,80.54498576,24.52922681,rice
60,49,44,6.244841491,84.49774397,20.77576147,rice
84,51,35,6.043304899,80.64416466,22.30157427,rice
73,57,41,5.824709117,84.94375962,21.44653958,rice
92,35,40,6.357389366,80.33127223,22.17931888,rice
85,37,39,6.364134968,82.73685569,24.52783742,rice
98,53,38,5.01450727,81.63895217,20.26707606,rice
88,54,44,6.149410611,83.88266234,25.7354293,rice
95,55,42,5.950660556,82.1480873,26.79533926,rice
99,57,35,5.960370061,81.17734011,26.75754171,rice
95,39,36,5.561398642,83.15250801,23.86330467,rice
60,43,44,7.416245107,82.95221726,21.01944696,rice
63,44,41,5.583370042,83.7287574,24.17298839,rice
62,42,36,6.430010215,82.06719137,22.78133816,rice
64,45,43,5.534878156,83.52842314,25.62980105,rice
83,60,36,6.903985986,80.14509262,25.59704938,rice
82,40,40,6.271478838,84.81360127,23.83067496,rice
85,52,45,7.224285503,82.36698992,26.31355498,rice
91,35,38,6.13428721,80.52586088,24.8972823,rice
76,49,42,5.206373153,84.47963372,24.958779,rice
74,39,38,7.782051313,84.59201843,23.24113501,rice
79,43,39,7.062779015,80.70960551,21.66628296,rice
88,55,45,7.730367824,80.41363018,24.63544858,rice
60,36,43,5.286203711,83.06310136,23.43121862,rice
76,60,39,6.766240045,80.3477562,20.0454142,rice
93,56,42,7.382762603,82.22572988,23.85724032,rice
65,60,43,5.658169482,81.89918197,21.97199397,rice
95,52,36,5.543360238,83.83625819,26.22916897,rice
75,38,39,6.215109715,84.79352417,23.44676801,rice
74,54,38,7.120272972,83.47021081,25.65553461,rice
91,36,45,5.950647577,82.45432595,24.44345477,rice
71,46,40,7.236705436,82.1235421,20.2801937,rice
99,55,35,6.501697816,80.2389895,21.7238313,rice
72,40,38,7.592490617,82.20802629,20.41447029,rice
83,58,45,5.875345751,83.51827127,25.75528612,rice
93,58,38,6.932400225,83.77345559,20.61521424,rice
70,36,42,6.946209881,80.72886384,21.84106875,rice
